id,name,address,postcode,city,lat,lon,Canton_name
264016988,Landi,Bahnhofstrasse,6170,Schüpfheim,46.9497882,8.0149812,Kanton Luzern
264016988,Landi,Bahnhofstrasse,6170,Schüpfheim,46.9497882,8.0149812,Kanton Luzern
264820067,Volg,Dorfstrasse,5745,Safenwil,47.3203291,7.9848983,
264820105,VOI,Güterstrasse,5745,Safenwil,47.3213533,7.985158,
265284973,Coop,Furkastrasse,3984,Fiesch,46.4014283,8.132974,Canton du Valais
265284973,Coop,Furkastrasse,3984,Fiesch,46.4014283,8.132974,Canton du Valais
265284973,Coop,Furkastrasse,3984,Fiesch,46.4014283,8.132974,Canton du Valais
265284973,Coop,Furkastrasse,3984,Fiesch,46.4014283,8.132974,Canton du Valais
268406302,Landi,Dorfstrasse,3436,Zollbrück,46.9794989,7.739613,Canton de Berne
268406302,Landi,Dorfstrasse,3436,Zollbrück,46.9794989,7.739613,Canton de Berne
288636545,Coop,Alpwegern,3860,Meiringen,46.7284591,8.1817093,Canton de Berne
288636545,Coop,Alpwegern,3860,Meiringen,46.7284591,8.1817093,Canton de Berne
288636545,Coop,Alpwegern,3860,Meiringen,46.7284591,8.1817093,Canton de Berne
288636545,Coop,Alpwegern,3860,Meiringen,46.7284591,8.1817093,Canton de Berne
288636545,Coop,Alpwegern,3860,Meiringen,46.7284591,8.1817093,Canton de Berne
291493897,Migros,Rue Albert-Gobat,2720,Tramelan,47.2234844,7.0998063,Canton de Berne
291493897,Migros,Rue Albert-Gobat,2720,Tramelan,47.2234844,7.0998063,Canton de Berne
291493897,Migros,Rue Albert-Gobat,2720,Tramelan,47.2234844,7.0998063,Canton de Berne
291493897,Migros,Rue Albert-Gobat,2720,Tramelan,47.2234844,7.0998063,Canton de Berne
291493897,Migros,Rue Albert-Gobat,2720,Tramelan,47.2234844,7.0998063,Canton de Berne
291493897,Migros,Rue Albert-Gobat,2720,Tramelan,47.2234844,7.0998063,Canton de Berne
291493897,Migros,Rue Albert-Gobat,2720,Tramelan,47.2234844,7.0998063,Canton de Berne
291508130,Coop,Rue Haute,2720,Tramelan,47.2235969,7.0990978,Canton de Berne
291508130,Coop,Rue Haute,2720,Tramelan,47.2235969,7.0990978,Canton de Berne
291508130,Coop,Rue Haute,2720,Tramelan,47.2235969,7.0990978,Canton de Berne
291508130,Coop,Rue Haute,2720,Tramelan,47.2235969,7.0990978,Canton de Berne
291508130,Coop,Rue Haute,2720,Tramelan,47.2235969,7.0990978,Canton de Berne
291508130,Coop,Rue Haute,2720,Tramelan,47.2235969,7.0990978,Canton de Berne
291508130,Coop,Rue Haute,2720,Tramelan,47.2235969,7.0990978,Canton de Berne
